store,city,address,url
3692,Marathon,"Marathon, 2 Ontario Street",http://www.thebeerstore.ca/locations/marathon-0
4105,Markdale,"Markdale, 33 Argyle Street",http://www.thebeerstore.ca/locations/markdale
2472,Markham,"Hwy #7, 5804 Hwy #7",http://www.thebeerstore.ca/locations/hwy-7
2483,Markham,"Markham Rd, 9780 Markham Rd.",http://www.thebeerstore.ca/locations/markham-rd16th-ave
2473,Markham,"Unionville, 4681 Hwy # 7",http://www.thebeerstore.ca/locations/unionville
4305,Marmora,"Marmora, 100 Forsythe Street",http://www.thebeerstore.ca/locations/marmora
3504,Mattawa,"Mattawa, 511 Valois Drive",http://www.thebeerstore.ca/locations/mattawa
3412,Meaford,"Meaford, 320 Sykes Street South",http://www.thebeerstore.ca/locations/meaford
3413,Midland,"Midland Ave., 291 Midland Ave.",http://www.thebeerstore.ca/locations/midland-ave
3443,Midland,"Midland, 9350 Highway #93.",http://www.thebeerstore.ca/locations/midland
2021,Milton,"Milton, 1015 Bronte Street South",http://www.thebeerstore.ca/locations/milton-1
2020,Milton,"Milton, 1071 Maple Ave.",http://www.thebeerstore.ca/locations/milton-0
2009,Milton,"Milton, 51 Millside Dr.",http://www.thebeerstore.ca/locations/milton
4558,Minden,"Minden, 12325 Highway 35",http://www.thebeerstore.ca/locations/minden
2323,Mississauga,"Applewood (N. Service Rd.), Applewood Plaza, 1079 North Service Rd",http://www.thebeerstore.ca/locations/applewood-n-service-rd
2324,Mississauga,"Bloor/Runningbrook, 1125 Bloor St. East",http://www.thebeerstore.ca/locations/bloorrunningbrook
2056,Mississauga,"Clarkson (Truscott Dr.), Park Royal Plaza, 2425 Truscott Dr.",http://www.thebeerstore.ca/locations/clarkson-truscott-dr
2322,Mississauga,"Cooksville, 3154 Hurontario Street",http://www.thebeerstore.ca/locations/cooksville
2326,Mississauga,"Dixie/Burnhamthorpe, Rockwood Mall, 4141 Dixie Road",http://www.thebeerstore.ca/locations/dixieburnhamthorpe
2057,Mississauga,"Dundas St.w.(Hwy 5), Woodchester Mall, 2458 Dundas St. W. (hwy #5)",http://www.thebeerstore.ca/locations/dundas-stwhwy-5
2325,Mississauga,"Erindale Station/Dundas, Westdale Mall, 3030 Erindale Station Road",http://www.thebeerstore.ca/locations/erindale-stationdundas
2060,Mississauga,"Heartland Mall, 5800 Mclaughlin Road",http://www.thebeerstore.ca/locations/heartland-mall
2012,Mississauga,"Malton (Westwood Mall), Westwood Mall, 3535 Etude Dr.",http://www.thebeerstore.ca/locations/malton-westwood-mall
2011,Mississauga,"Meadowvale, Meadowvale Town Centre, 6780 Town Centre Circle",http://www.thebeerstore.ca/locations/meadowvale
2333,Mississauga,"Mississauga - Dixie/Dundas, 1550 Dundas Street East",http://www.thebeerstore.ca/locations/mississauga-dixiedundas
2328,Mississauga,"Port Credit, 420 Lakeshore Road East",http://www.thebeerstore.ca/locations/port-credit
